english,spanish,english_sentence,spanish_sentence,POS,CEFR,ipa,family_size,frequency
asylum,asilo,The asylum application was approved,La solicitud de asilo fue aprobada,NOUN,C1,/əˈsaɪ.ləm/,4,2872
admission parole,parole de admisión,Admission parole allows temporary stay,El parole de admisión permite estadía temporal,NOUN,C1,/ədˈmɪʃ.ən pəˈroʊl/,2,1764
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,3,1792
administrative,administrativo,Administrative processing delayed visa,El procesamiento administrativo retrasó la visa,ADJ,B2,/ədˌmɪn.ɪˈstreɪ.tɪv/,5,3115
approval,aprobación,Work permit approval takes 90 days,La aprobación del permiso de trabajo toma 90 días,NOUN,B2,/əˈpruː.vəl/,2,2885
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,4,1704
asylum officer,oficial de asilo,Asylum officer conducted credible fear interview,El oficial de asilo realizó entrevista de temor creíble,NOUN,C1,/əˈsaɪ.ləm ˈɒf.ɪ.sər/,3,1504
admission record,registro de admisión,Check your admission record online,Verificar registro de admisión en línea,NOUN,B2,/ədˈmɪʃ.ən ˈrek.ɔːd/,3,2361
adjustment interview,entrevista de ajuste,Adjustment interview requires biometrics,La entrevista de ajuste requiere biométricos,NOUN,C1,/əˈdʒʌst.mənt ˈɪn.tə.vjuː/,2,2359
advance parole,permiso anticipado de viaje,Advance parole allows reentry,El permiso anticipado permite reingreso,NOUN,C1,/ədˈvɑːns pəˈroʊl/,3,1764
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,5,1771
adjudication,adjudicación,Visa adjudication process is complex,El proceso de adjudicación de visa es complejo,NOUN,C2,/əˌdʒuː.dɪˈkeɪ.ʃən/,3,1677
affidavit support,declaración de apoyo,Affidavit of support required for family,Se requiere declaración de apoyo para familia,NOUN,C1,/ˌæf.ɪˈdeɪ.vɪt əv səˈpɔːrt/,2,1226
asylum seeker,solicitante de asilo,Asylum seekers need legal help,Los solicitantes de asilo necesitan ayuda legal,NOUN,C1,/əˈsaɪ.ləm ˈsiː.kər/,5,2102
admission hearing,audiencia de admisión,Admission hearing set for next week,Audiencia de admisión programada para próxima semana,NOUN,B2,/ədˈmɪʃ.ən ˈhɪə.rɪŋ/,4,1965
adjustment,ajuste,Adjustment of status requires forms,El ajuste de estatus requiere formularios,NOUN,C1,/əˈdʒʌst.mənt/,2,2435
asylum eligibility,elegibilidad de asilo,Asylum eligibility requires persecution fear,La elegibilidad de asilo requiere temor a persecución,NOUN,C1,/əˈsaɪ.ləm ɪˌli.dʒəˈbɪl.ə.ti/,4,1615
